"survey";"year";"country";"quarter";"area";"aphia_id";"species";"length";"plusgr";"age";"sex";"maturity";"weight";"canoatlngt";"dateofcalc";"spawning_scale"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";270;-9;2;"M";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";280;-9;1;"M";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";280;-9;2;"M";"2";NA;2;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";280;-9;2;"M";"5";NA;4;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";290;-9;1;"M";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";290;-9;1;"M";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";290;-9;2;"M";"2";NA;3;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";290;-9;2;"M";"5";NA;3;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";300;-9;2;"M";"2";NA;3;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";300;-9;2;"M";"3";NA;1;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";300;-9;2;"M";"5";NA;3;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";300;-9;3;"M";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";300;-9;3;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";310;-9;2;"M";"2";NA;4;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";310;-9;2;"M";"5";NA;6;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";310;-9;3;"M";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";320;-9;2;"M";"2";NA;8;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";320;-9;2;"M";"3";NA;1;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";320;-9;2;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";320;-9;3;"M";"2";NA;4;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";320;-9;3;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";330;-9;2;"M";"2";NA;5;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";330;-9;2;"M";"3";NA;3;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";330;-9;2;"M";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";330;-9;3;"M";"2";NA;2;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";330;-9;3;"M";"3";NA;1;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";330;-9;3;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";340;-9;2;"M";"2";NA;7;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";340;-9;2;"M";"3";NA;2;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";340;-9;2;"M";"5";NA;3;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";340;-9;3;"M";"2";NA;3;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";340;-9;3;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";350;-9;2;"M";"2";NA;8;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";350;-9;2;"M";"3";NA;2;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";350;-9;2;"M";"5";NA;4;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";350;-9;3;"M";"2";NA;6;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";350;-9;3;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";360;-9;2;"M";"2";NA;6;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";360;-9;2;"M";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";360;-9;3;"M";"2";NA;9;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";360;-9;3;"M";"5";NA;3;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";370;-9;2;"M";"3";NA;1;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";370;-9;2;"M";"4";NA;1;20140320;"spent"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";370;-9;2;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";370;-9;3;"M";"2";NA;8;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";370;-9;3;"M";"3";NA;1;20140320;"spawning"
