"Age";"Year";"Sex";"mean_weight";"mean_length";"sd_length"
1;2013;"F";82.6142857142857;19.8142857142857;4.1573851074536
1;2014;"F";62.3076923076923;18.025641025641;4.25185519562795
1;2015;"F";63.3333333333333;18.6140350877193;3.20576704641646
1;2016;"F";45.8333333333333;16.3333333333333;4.7187568984497
1;2017;"F";52.4489795918367;17.8265306122449;3.11969305324673
1;2018;"F";57.8181818181818;17.9090909090909;1.97253874256226
1;2019;"F";47.75;17;3.16227766016838
2;2013;"F";413.613333333333;34.1866666666667;5.16404757795543
2;2014;"F";414.171641791045;33.3283582089552;6.30404586569107
2;2015;"F";477.475247524752;35.2772277227723;5.86876275186038
2;2016;"F";300.954545454545;29.4090909090909;7.14915306944743
2;2017;"F";219.75;26.6071428571429;5.80765322474026
2;2018;"F";382.763313609467;31.905325443787;7.95391682753901
2;2019;"F";225.8;25.55;9.03487395420772
3;2013;"F";937.857142857143;43.8;7.01675014580793
3;2014;"F";989.676470588235;45.8529411764706;6.17488732784546
3;2015;"F";1274.5;49.0243902439024;6.77135508030759
3;2016;"F";995.066666666667;43.8666666666667;9.49676290886144
3;2017;"F";1333.4;49.3866666666667;8.02511822483149
3;2018;"F";933.243243243243;45.3513513513514;6.43003463018243
3;2019;"F";927.556390977444;43.8195488721804;9.47231579190688
4;2013;"F";2601.5;58.5;9.71008312455224
4;2014;"F";2467.14285714286;61.4285714285714;6.67974906856894
4;2015;"F";3297.72727272727;68.5454545454545;5.18389113241465
4;2016;"F";2619.67567567568;61.972972972973;9.43835698533291
4;2017;"F";3299.57692307692;66.7307692307692;10.1648716364062
4;2018;"F";2271.67647058824;60.6176470588235;6.67369398429096
4;2019;"F";2174.09090909091;58.7272727272727;6.13336627132131
5;2013;"F";3309.2;66;11.8509258897541
5;2014;"F";3840;71;NA
5;2015;"F";5169.5;78.75;4.27200187265877
5;2016;"F";3601.9;69.6;9.53589709116732
5;2017;"F";4390.05263157895;74.4210526315789;6.4404605552509
5;2018;"F";3997.51428571429;72.3428571428571;8.59186639021039
5;2019;"F";4389.42857142857;74.2857142857143;9.14174100330066
6;2013;"F";6825;83.5;5
6;2014;"F";5230;81;1.4142135623731
6;2016;"F";7600;87;NA
6;2017;"F";8263;86;5.33853912601566
6;2018;"F";7531.11111111111;88;4.66368952654441
6;2019;"F";5216.66666666667;81.6666666666667;3.51188458428425
7;2016;"F";5970;87;NA
7;2017;"F";7380;88;NA
7;2018;"F";9550;97.6666666666667;4.04145188432738
7;2019;"F";2768;65;NA
8;2014;"F";16340;98;NA
